iter	Passed	Remaining
0	557	1394328
1	989	1236254
2	1376	1145983
3	1770	1104915
4	2187	1091670
5	2575	1070415
6	2958	1053556
7	3374	1051086
8	3772	1044157
9	4151	1033656
10	4526	1024210
11	4914	1018939
12	5310	1015927
13	5723	1016343
14	6084	1008015
15	6479	1005910
16	6896	1007229
17	7277	1003541
18	7658	1000080
19	8060	999541
20	8462	999033
21	8853	997174
22	9254	996645
23	9668	997419
24	10046	994633
25	10425	992023
26	10826	991630
27	11219	990536
28	11620	990122
29	12025	990126
30	12410	988421
31	12790	986495
32	13194	986364
33	13596	986167
34	13995	985679
35	14385	984580
36	14780	983917
37	15196	984603
38	15597	984254
39	16006	984399
40	16426	985161
41	16840	985563
42	17259	986181
43	17659	985726
44	18054	984946
45	18450	984280
46	18849	983795
47	19258	983794
48	19667	983796
49	20095	984686
50	20509	984839
51	20912	984503
52	21320	984352
53	21718	983746
54	22112	982986
55	22502	982054
56	22910	981940
57	23321	981897
58	23723	981513
59	24120	980886
60	24534	980960
61	24944	980868
62	25341	980258
63	25716	978852
64	26090	977397
65	26501	977328
66	26888	976404
67	27293	976149
68	27708	976216
69	28104	975637
70	28517	975636
71	28926	975464
72	29327	975050
73	29726	974538
74	30137	974452
75	30537	973992
76	30946	973802
77	31358	973707
78	31757	973231
79	32121	971678
80	32511	970941
81	32917	970656
82	33312	970088
83	33713	969651
84	34159	970521
85	34569	970353
86	34964	969775
87	35370	969464
88	35801	969864
89	36209	969599
90	36616	969318
91	37032	969287
92	37419	968486
93	37821	968081
94	38239	968069
95	38650	967867
96	39048	967366
97	39441	966709
98	39858	966669
99	40238	965728
100	40648	965498
101	41041	964882
102	41447	964567
103	41841	963974
104	42247	963649
105	42633	962877
106	43040	962578
107	43471	962812
108	43859	962098
109	44262	961697
110	44653	961047
111	45061	960770
112	45487	960879
113	45884	960352
114	46285	959930
115	46714	960064
116	47117	959660
117	47538	959642
118	47957	959550
119	48367	959284
120	48758	958653
121	49166	958339
122	49561	957791
123	49968	957466
124	50381	957251
125	50789	956943
126	51200	956692
127	51600	956215
128	52023	956180
129	52437	955976
130	52836	955493
131	53256	955387
132	53627	954399
133	54059	954511
134	54451	953909
135	54834	953160
136	55234	952697
137	55658	952647
138	56037	951829
139	56447	951544
140	56862	951343
141	57271	951032
142	57679	950705
143	58079	950242
144	58497	950077
145	58895	949596
146	59273	948775
147	59702	948784
